criterion,max_depth,min_samples_split,n_estimators,task_id,mse,worker,compute_time,finished_at
squared_error,20,2,200,task_63,21.41048716958197,JuledeMacBook-Air.local,1.1452,2025-12-13 03:13:00
squared_error,20,5,10,task_65,23.238765707117892,JuledeMacBook-Air.local,0.0542,2025-12-13 03:13:00
squared_error,20,5,50,task_66,22.507766622588747,JuledeMacBook-Air.local,0.2632,2025-12-13 03:13:01
squared_error,20,5,100,task_67,21.711909016216616,JuledeMacBook-Air.local,0.522,2025-12-13 03:13:01
squared_error,20,5,200,task_68,21.58694455259381,JuledeMacBook-Air.local,1.051,2025-12-13 03:13:02
squared_error,20,2,500,task_64,21.47092326163216,JuledeMacBook-Air.local,2.8475,2025-12-13 03:13:03
squared_error,20,10,10,task_70,24.473918613776096,JuledeMacBook-Air.local,0.0494,2025-12-13 03:13:03
squared_error,20,10,50,task_71,23.436655609809833,JuledeMacBook-Air.local,0.2384,2025-12-13 03:13:03
squared_error,20,10,100,task_72,22.067794590345112,JuledeMacBook-Air.local,0.4678,2025-12-13 03:13:04
squared_error,20,10,200,task_73,21.957258879206712,JuledeMacBook-Air.local,0.936,2025-12-13 03:13:05
squared_error,20,5,500,task_69,21.67554977715818,JuledeMacBook-Air.local,2.6211,2025-12-13 03:13:05
squared_error,20,10,500,task_74,21.878433269957217,JuledeMacBook-Air.local,2.396,2025-12-13 03:13:07
